observer,real_thief,victim,time_testimony,time_crime,place_observer,place_theft,vision_perturb,observed_thief,memory_perturb,memorized_thief,veracity_perturb,testified_thief,run
8.0,"(0, 2, 1)",7.0,80.0,32.0,"(26, 31)","(44, 23)",False,"(0, 2, 1)",True,"(0, 1, 1)",False,"(0, 1, 1)",42
9.0,"(0, 2, 1)",7.0,80.0,32.0,"(37, 23)","(44, 23)",False,"(0, 2, 1)",True,"(0, 0, 0)",False,"(0, 0, 0)",42
8.0,"(0, 1, 1)",1.0,80.0,38.0,"(26, 31)","(39, 23)",False,"(0, 1, 1)",True,"(0, 1, 1)",True,"(0, 2, 2)",42
8.0,"(0, 0, 2)",6.0,80.0,38.0,"(26, 31)","(39, 23)",False,"(0, 0, 2)",True,"(0, 0, 2)",False,"(0, 0, 2)",42
9.0,"(0, 1, 1)",1.0,80.0,38.0,"(37, 23)","(39, 23)",False,"(0, 1, 1)",True,"(0, 0, 1)",True,"(2, 0, 0)",42
9.0,"(0, 0, 2)",6.0,80.0,38.0,"(37, 23)","(39, 23)",False,"(0, 0, 2)",True,"(0, 1, 2)",False,"(0, 1, 2)",42
9.0,"(0, 1, 1)",1.0,80.0,38.0,"(37, 23)","(39, 23)",False,"(0, 1, 1)",True,"(0, 1, 1)",True,"(1, 1, 1)",42
9.0,"(0, 0, 2)",6.0,80.0,38.0,"(37, 23)","(39, 23)",False,"(0, 0, 2)",False,"(0, 0, 2)",True,"(0, 2, 0)",42
9.0,"(0, 0, 2)",0.0,80.0,50.0,"(37, 23)","(28, 34)",False,"(0, 0, 2)",False,"(0, 0, 2)",False,"(0, 0, 2)",42
9.0,"(0, 0, 2)",0.0,80.0,50.0,"(37, 23)","(28, 34)",False,"(0, 0, 2)",True,"(0, 0, 2)",False,"(0, 0, 2)",42
4.0,"(1, 0, 2)",9.0,80.0,8.0,"(40, 22)","(25, 36)",False,"(1, 0, 2)",True,"(1, 2, 2)",True,"(1, 2, 0)",43
4.0,"(0, 1, 1)",1.0,80.0,8.0,"(40, 22)","(25, 36)",False,"(0, 1, 1)",False,"(0, 1, 1)",True,"(2, 1, 1)",43
3.0,"(2, 2, 2)",0.0,80.0,41.0,"(39, 41)","(1, 30)",False,"(2, 2, 2)",False,"(2, 2, 2)",True,"(0, 2, 1)",43
6.0,"(0, 2, 1)",0.0,80.0,21.0,"(40, 4)","(22, 25)",False,"(0, 2, 1)",False,"(0, 2, 1)",True,"(0, 2, 0)",44
6.0,"(0, 1, 1)",5.0,80.0,21.0,"(40, 4)","(22, 25)",False,"(0, 1, 1)",False,"(0, 1, 1)",False,"(0, 1, 1)",44
7.0,"(0, 2, 1)",0.0,80.0,21.0,"(12, 21)","(22, 25)",False,"(0, 2, 1)",True,"(0, 2, 1)",True,"(0, 0, 1)",44
7.0,"(0, 1, 1)",5.0,80.0,21.0,"(12, 21)","(22, 25)",False,"(0, 1, 1)",False,"(0, 1, 1)",True,"(2, 1, 1)",44
1.0,"(1, 2, 0)",6.0,80.0,38.0,"(39, 5)","(13, 11)",False,"(1, 2, 0)",False,"(1, 2, 0)",True,"(2, 2, 0)",44
2.0,"(1, 2, 0)",6.0,80.0,38.0,"(40, 4)","(13, 11)",False,"(1, 2, 0)",True,"(1, 0, 0)",True,"(1, 1, 2)",44
5.0,"(1, 2, 0)",6.0,80.0,38.0,"(7, 20)","(13, 11)",False,"(1, 2, 0)",False,"(1, 2, 0)",True,"(1, 2, 2)",44
